method,path,body,single_q,double_q,dashes,braces,spaces,badwords,class
POST,btnSubmit=Login&passw=-1'%20OR%202%2B1-1-1=1%20AND%20000623=000623%20or%20'bkqL7jUZ'='&uid=e,/doLogin,8,0,0,0,6,2,bad
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/default.jsp?content=-1'%20OR%202%2B371-371-1=0%2B0%2B0%2B1%20--%20,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=CustomerServiceRepresentative:CustomerService,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp?HostName=Ha2sJgjn';%20waitfor%20delay%20'0:0:9'%20--%20,0,0,0,0,0,0,good
GET,,/default.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,"/survey_questions.jsp?step=a""%20AND%202*3*8=6*8%20AND%20""yNqA""=""yNqA",0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp?step=-1%20OR%202%2B745-745-1=0%2B0%2B0%2B1,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/search.jsp?query=-1%20OR%202%2B785-785-1=0%2B0%2B0%2B1%20--%20,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=e,/doLogin,0,0,0,0,0,2,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
POST,GBYDCZAE';%20waitfor%20delay%20'0:0:23.316'%20--%20&passw=g00dPa%24%24w0rD&uid=1,/doLogin,6,0,2,0,5,6,bad
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
POST,"0""XOR(if(now()=sysdate()%2Csleep(0)%2C0))XOR""Z&cfile=comments.txt&comments=1&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1",/sendFeedback,0,4,0,10,0,2,bad
POST,btnSubmit=Subscribe&txtEmail=-1%20OR%202%2B702-702-1=0%2B0%2B0%2B1%20--%20,/doSubscribe,0,0,2,0,4,0,bad
POST,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=-1""%20OR%202%2B475-475-1=0%2B0%2B0%2B1%20--%20",/doLogin,0,2,2,0,4,2,bad
POST,"-1""%20OR%202%2B884-884-1=0%2B0%2B0%2B1%20--%20&passw=g00dPa%24%24w0rD&uid=e",/doLogin,0,2,2,0,4,2,bad
GET,,/urchin.js,0,0,0,0,0,0,good
POST,btnSubmit=Login&passw=-1'%20OR%202%2B914-914-1=0%2B0%2B0%2B1%20or%20'QmbTa8Nm'='&uid=1,/doLogin,8,0,0,0,4,2,bad
GET,,/index.jsp?content=JyI=&job=Teller:ConsumaerBanking,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=-1;%20waitfor%20delay%20'0:0:9'%20--%20&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1,/sendFeedback,4,0,2,0,7,4,bad
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp?HostName=GMYMrVaD');select%20pg_sleep(9);%20--%20,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=inside_jobs.htm&job=if(now()=sysdate()%2Csleep(10)%2C0),0,0,0,0,0,0,good
GET,,/doLogin,0,0,0,0,0,0,good
GET,,"/Privacypolicy.jsp?sec=Careers&template=0""XOR(if(now()=sysdate()%2Csleep(9)%2C0))XOR""Z",0,0,0,0,0,0,good
POST,"btnSubmit=Login&passw=g00dPa%24%24w0rD&uid=0""XOR(if(now()=sysdate()%2Csleep(6)%2C0))XOR""Z",/doLogin,0,4,0,10,0,4,bad
GET,,/index.jsp?content=inside_jobs.htm&job=JyI=,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/index.jsp?content=-1%20OR%203%2B47-47-1=0%2B0%2B0%2B1&job=MortgageLendingAccountExecutive:Sales,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/default.jsp?content=-1'%20OR%202%2B534-534-1=0%2B0%2B0%2B1%20or%20'0YUICOjh'=',0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp?sec=xmdti3a7'));select%20pg_sleep(3);%20--%20&template=US,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/doSubscribe,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
POST,-1'%20OR%202%2B589-589-1=0%2B0%2B0%2B1%20--%20&passw=g00dPa%24%24w0rD&uid=e,/doLogin,2,0,2,0,4,2,bad
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/index.jsp,0,0,0,0,0,0,good
POST,submit=%20Submit%20&cfile=comments.txt&comments=GMNI45Qd');select%20pg_sleep(6);%20--%20&email_addr=sample%40email.tst&name=zFPWdwPk&subject=1,/sendFeedback,2,0,2,2,5,4,bad
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/search.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/survey_questions.jsp,0,0,0,0,0,0,good
GET,,/util/serverStatusCheckService.jsp,0,0,0,0,0,0,good
GET,,/disclaimer.htm,0,0,0,0,0,0,good
GET,,/Privacypolicy.jsp?sec=Careers&template=if(now()=sysdate()%2Csleep(6)%2C0),0,0,0,0,0,0,good
GET,,/sendFeedback,0,0,0,0,0,0,good
